Data,transitivity,grauMedio,average_path_length,modularity,global_average_link_distance,eccentricity,eigenvector,coreness,pagerank,links
1950-01-01,0.5634516054065806,22.23637316561845,55.40758624275306,0.8509882611732242,7.275677807170663e-05,37.720780922431864,0.009028929258732254,13.479690775681341,0.0001310272536687631,84854
1950-02-01,0.5598111954862175,21.96174004192872,54.285401465719524,0.8533547020395844,7.099121330284388e-05,35.508516771488466,0.01413876058984119,13.353249475890985,0.0001310272536687631,83806
1950-03-01,0.560227507286566,22.205188679245282,63.955999705493454,0.8503472824131207,7.251769089371366e-05,30.08778825995807,0.014599265734572524,13.49056603773585,0.00013102725366876314,84735
1950-04-01,0.5594063118616232,22.20466457023061,61.00888550563505,0.8473098318891157,7.367075919224326e-05,31.485718029350103,0.009107922924782285,13.50013102725367,0.0001310272536687631,84733
1950-05-01,0.5588222618476838,22.194444444444443,62.64704616390114,0.8555272880095655,7.52033125445598e-05,30.5520178197065,0.009114729888037427,13.503799790356394,0.0001310272536687631,84694
1950-06-01,0.5594776429933604,22.616090146750523,27.047956833362317,0.851222066043728,7.762799663749845e-05,25.86569706498952,0.009299630293384131,13.713836477987421,0.0001310272536687631,86303
1950-07-01,0.5606753462965582,23.66614255765199,27.57169795523995,0.8467323941878077,8.914719978424247e-05,28.18094863731656,0.011506977595452984,14.301493710691824,0.0001310272536687631,90310
1950-08-01,0.55799067411793,25.67898322851153,24.83311993971407,0.8413736724288726,0.00013294798540710377,26.266247379454928,0.01827757533198525,15.455319706498951,0.0001310272536687631,97991
1950-09-01,0.6034752155696506,28.714622641509433,15.859288405425623,0.807633228605178,0.00021535830723964672,24.540880503144653,0.025098002960331545,17.49868972746331,0.0001310272536687631,109575
1950-10-01,0.642495497533104,31.14832285115304,12.413792411895976,0.78889462137103,0.0002987735700069122,21.669025157232703,0.029307902849491557,19.197589098532493,0.00013102725366876308,118862
1950-11-01,0.6358829170787155,31.365828092243188,11.539065798861369,0.7847919661550776,0.0003110963639118421,20.16116352201258,0.029156604311462726,19.18841719077568,0.0001310272536687631,119692
1950-12-01,0.5957093836035449,29.195230607966458,11.474128547711846,0.8188379309727792,0.00025572695242734875,20.09525681341719,0.02469826464529098,17.7000786163522,0.0001310272536687631,111409
1951-01-01,0.5652678071835899,26.86006289308176,12.482538021426999,0.8359561187069459,0.00017077552533889713,21.145833333333332,0.018431630340115465,16.009171907756812,0.0001310272536687631,102498
1951-02-01,0.5659156946821148,25.096698113207548,13.713904026305588,0.843570354721672,0.00011297078062309145,22.83451257861635,0.01412087553532097,15.118448637316561,0.0001310272536687631,95769
1951-03-01,0.5674035981473036,23.69496855345912,18.70366219714521,0.8563656353786783,8.560342466288544e-05,29.375655136268342,0.008384000065017973,14.374606918238994,0.0001310272536687631,90420
1951-04-01,0.565942002825729,23.17269392033543,22.32251746366127,0.8521913520549257,7.958479623345889e-05,33.22300838574424,0.007090991671745912,14.07625786163522,0.0001310272536687631,88427
1951-05-01,0.5656696408162779,22.98506289308176,23.09230661400714,0.8491416788729373,7.70758356231254e-05,29.87513102725367,0.01129524442686241,13.953747379454926,0.0001310272536687631,87711
1951-06-01,0.5648090667035135,22.914832285115303,18.755395864051163,0.8454664276500107,7.714606089768141e-05,29.93016247379455,0.011053630257504105,13.939465408805031,0.00013102725366876308,87443
1951-07-01,0.5668195063037645,22.87368972746331,22.754199534229105,0.8442926312246882,7.756075072491753e-05,33.72615303983228,0.006933455078739179,13.908149895178196,0.0001310272536687631,87286
1951-08-01,0.5719516402417988,22.78825995807128,23.50123702364871,0.85063484687786,7.599861339988282e-05,35.88731656184486,0.007348557164809371,13.971960167714885,0.0001310272536687631,86960
1951-09-01,0.5755731409457137,22.9958071278826,27.10911165342074,0.8488648872043736,7.753640900501651e-05,35.12342767295598,0.007966955267494863,14.045859538784066,0.0001310272536687631,87752
1951-10-01,0.5769858869810461,23.18422431865828,25.952181731693,0.8484433986305691,7.929292126515532e-05,32.20125786163522,0.008453341622992555,14.19929245283019,0.00013102725366876314,88471
1951-11-01,0.5745310785880839,23.050314465408807,23.90250167789061,0.8528905124719756,7.811778806092446e-05,32.462526205450736,0.008254963337375434,14.134827044025156,0.0001310272536687631,87960
1951-12-01,0.5695072802345482,23.116876310272538,24.719786773963754,0.848891910155216,7.813509732184441e-05,34.522536687631025,0.00678421762525905,14.072851153039831,0.0001310272536687631,88214
1952-01-01,0.5627356810077712,22.40487421383648,32.45577422391893,0.854704194187515,7.351258903044341e-05,28.901991614255767,0.016768991009316645,13.592898322851154,0.0001310272536687631,85497
1952-02-01,0.5619505569018522,21.90985324947589,35.14838995304104,0.845120325193637,7.046985498431148e-05,35.009433962264154,0.01888346860428599,13.38784067085954,0.0001310272536687631,83608
1952-03-01,0.561744904292532,21.912735849056602,34.19839957532815,0.8477921826339285,7.061429469422142e-05,38.0541142557652,0.0181069386855638,13.309879454926625,0.0001310272536687631,83619
1952-04-01,0.5616010265564748,22.02856394129979,48.09736861697583,0.8443135139481978,7.100806022604185e-05,38.850628930817614,0.02041361141418015,13.329664570230609,0.0001310272536687631,84061
1952-05-01,0.5621507105106307,21.95780922431866,46.03463879129239,0.8533747628842645,7.081010414986323e-05,38.73624213836478,0.019235878626705286,13.368186582809225,0.0001310272536687631,83791
1952-06-01,0.5625503177819866,21.96200209643606,51.21893460745876,0.8473426245169952,7.089987215229365e-05,36.07809224318658,0.020977660631400285,13.426493710691824,0.0001310272536687631,83807
